id,persian,english,french,level,category,recommended_start,enabled,tags
1,سلام.,Hello.,Salut.,A0,greeting,day_1,true,"starter,daily"
2,"سلام، خوبی؟","Hi, how are you?","Salut, ça va ?",A0,greeting,day_1,true,"starter,daily"
3,"خوبم، مرسی.","I’m good, thanks.","Ça va bien, merci.",A0,greeting,day_1,true,"starter,daily"
4,بد نیستم.,"I’m not bad.","Ça va, pas mal.",A0,greeting,day_1,true,"starter,daily"
5,اسم من محمده.,"My name is Mohammad.","Je m’appelle Mohammad.",A0,identity,day_1,true,"starter,self"
6,من محمد هستم.,"I am Mohammad.","Je suis Mohammad.",A0,identity,day_1,true,"starter,self"
7,من ایرانی‌ام.,"I am Iranian.","Je suis iranien.",A0,identity,day_1,true,"starter,self"
8,من دانشجو هستم.,"I am a student.","Je suis étudiant.",A0,identity,day_1,true,"starter,university"
9,من فارسی حرف می‌زنم.,"I speak Persian.","Je parle persan.",A0,language,day_1,true,"starter,language"
10,من انگلیسی حرف می‌زنم.,"I speak English.","Je parle anglais.",A0,language,day_1,true,"starter,language"
11,من کمی فرانسوی حرف می‌زنم.,"I speak a little French.","Je parle un peu français.",A0+,language,week_1,true,"language,speaking"
12,من فرانسوی یاد می‌گیرم.,"I am learning French.","J’apprends le français.",A0+,language,week_1,true,"language,learning"
13,من تازه شروع کردم.,"I just started.","Je commence maintenant.",A0+,learning,week_1,true,"learning,motivation"
14,من مبتدی‌ام.,"I am a beginner.","Je suis débutant.",A0+,learning,week_1,true,"learning,self"
15,من جدی‌ام.,"I am serious.","Je suis sérieux.",A0+,motivation,week_1,true,"motivation,self"
16,من آماده‌ام.,"I am ready.","Je suis prêt.",A0+,motivation,week_1,true,"motivation,self"
17,من خسته‌ام.,"I am tired.","Je suis fatigué.",A0,state,day_1,true,"daily,state"
18,من خوبم.,"I am well.","Je vais bien.",A0,state,day_1,true,"daily,state"
19,من خوشحالم.,"I am happy.","Je suis content.",A0+,state,week_1,true,"daily,state"
20,من مشغولم.,"I am busy.","Je suis occupé.",A0+,state,week_1,true,"daily,state"
21,می‌فهمم.,"I understand.","Je comprends.",A0,classroom,day_1,true,"classroom,communication"
22,نمی‌فهمم.,"I don’t understand.","Je ne comprends pas.",A0,classroom,day_1,true,"classroom,communication"
23,کمی می‌فهمم.,"I understand a little.","Je comprends un peu.",A0+,classroom,week_1,true,"classroom,communication"
24,نمی‌دانم.,"I don’t know.","Je ne sais pas.",A0,communication,day_1,true,"daily,communication"
